First Name,Last Name,Email,Department,Phone Extension
Eddard,Stark,Ned@westeros.net,Research & Dev.,133
Benjen,Stark,ColdHands@westeros.net,Auditing,674
Catelyn,Stark,Mother@westeros.net,Human Resources,387
Arya,Stark,A_Girl@westeros.net,Research & Dev.,117
Robb,Stark,YoungWolf@westeros.net,Research & Dev.,188
Sansa,Stark,LittleDove@westeros.net,Research & Dev.,195
Bran,Stark,TheRaven@westeros.net,Research & Dev.,124
Rickon,Stark,Shaggydog@westeros.net,Research & Dev.,113
Jon,Snow,TheGhostBrother@westeros.net,Auditing,691
Tyrion,Lannister,TheImp@westeros.net,Accounting,452
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,485
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,406
Robert,Baratheon,TheUsurper@westeros.net,Sales,514
Stannis,Baratheon,ThePromised@westeros.net,Sales,551
Renly,Baratheon,SummerKing@westeros.net,Sales,561
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,288
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,207
