First Name,Last Name,Email,Department,Phone Extension
Eddard,Stark,Ned@westeros.net,Research & Dev.,120
Benjen,Stark,ColdHands@westeros.net,Auditing,684
Catelyn,Stark,Mother@westeros.net,Human Resources,319
Arya,Stark,A_Girl@westeros.net,Research & Dev.,116
Robb,Stark,YoungWolf@westeros.net,Research & Dev.,131
Sansa,Stark,LittleDove@westeros.net,Research & Dev.,133
Bran,Stark,TheRaven@westeros.net,Research & Dev.,172
Rickon,Stark,Shaggydog@westeros.net,Research & Dev.,102
Jon,Snow,TheGhostBrother@westeros.net,Auditing,664
Tyrion,Lannister,TheImp@westeros.net,Accounting,438
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,401
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,487
Robert,Baratheon,TheUsurper@westeros.net,Sales,507
Stannis,Baratheon,ThePromised@westeros.net,Sales,573
Renly,Baratheon,SummerKing@westeros.net,Sales,592
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,210
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,264
